Ticker,date,Risk,Sentiment,SanctionExposure,San_temp,SanctionRisk,SanctionSentiment,Total words,FirmTicker
کقزوی,2018-09-25,1190.4761904761904,-11904.761904761905,0.0,0.0,0.0,0.0,84,كقزوي
وحکمت,2018-09-17,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,وحكمت
پسهند,2018-09-25,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,پسهند
خگستر,2018-09-24,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,خگستر
وثوق,2018-09-25,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,وثوق
فلات,2018-09-24,793.6507936507936,-13095.238095238095,396.8253968253968,396.8253968253968,0.0,396.8253968253968,252,فلات
خپویش,2018-09-23,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,خپويش
لپارس,2018-09-24,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,لپارس
حپارسا,2018-09-22,2290.0763358778627,-14503.81679389313,305.3435114503817,305.3435114503817,305.3435114503817,-1526.7175572519084,655,حپارسا
خصدرا,2018-09-22,135.50135501355012,-12466.124661246611,813.0081300813008,406.5040650406504,0.0,-813.0081300813008,738,خصدرا
کپشیر,2018-09-24,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,كپشير
خرینگ,2018-09-23,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,خرينگ
زنجان,2018-09-15,0.0,-10000.0,0.0,0.0,0.0,0.0,110,زنجان
فولاژ,2018-09-16,1921.6555801921656,-9016.9992609017,517.3688100517369,295.6393200295639,147.81966001478196,-1699.926090169993,1353,فولاژ
غگلستا,2018-09-25,2491.103202846975,-9252.669039145909,177.9359430604982,177.9359430604982,177.9359430604982,-355.8718861209964,562,غگلستا
شرنگی,2018-09-15,0.0,-6521.739130434782,0.0,0.0,0.0,0.0,46,شرنگي
کفرآور,nodate,,,,,,,0,
شدوص,2018-09-17,0.0,-11929.82456140351,350.87719298245617,350.87719298245617,0.0,-350.87719298245617,285,شدوص
سصفها,2018-09-17,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,سصفها
کسعدی,2018-09-22,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,كسعدي
کمرجان,2018-09-23,0.0,-25000.0,0.0,0.0,0.0,0.0,12,كمرجان
کفرآور,nodate,0.0,-12121.212121212122,0.0,0.0,0.0,0.0,33,
سرود,2018-09-12,296.7359050445104,-10682.492581602375,296.7359050445104,0.0,0.0,0.0,337,سرود
دپارس,2018-09-12,488.99755501222495,-10268.948655256723,488.99755501222495,488.99755501222495,0.0,-1222.4938875305622,409,دپارس
تجار,2018-09-23,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,
کلوند,2018-09-17,1250.0,-10750.0,125.0,0.0,0.0,0.0,800,كلوند
نتوس,2018-09-24,0.0,-10000.0,0.0,0.0,0.0,0.0,50,نتوس
کپارس,2018-09-18,2300.405953991881,-10554.803788903924,405.95399188092017,270.6359945872801,135.31799729364008,-811.9079837618403,739,كپارس
گپارس,2018-09-25,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,گپارس
خمهر,2018-09-23,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,خمهر
بمیلا,2018-09-22,1063.8297872340424,-7801.418439716312,354.6099290780142,354.6099290780142,354.6099290780142,-709.2198581560284,282,بميلا
سبهان,2018-09-15,764.3312101910827,-12866.24203821656,254.77707006369425,127.38853503184713,0.0,-636.9426751592356,785,سبهان
خاذین,2018-09-22,2631.578947368421,-9210.526315789471,877.1929824561403,438.5964912280701,0.0,-877.1929824561403,228,خاذين
حپارسا,2018-09-22,2177.858439201452,-11796.733212341198,362.9764065335753,181.48820326678765,181.48820326678765,-1088.929219600726,551,حپارسا
ممسنی,2018-09-22,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,ممسني
شپلی,2018-09-22,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,شپلي
خفناور,2018-09-16,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,خفناور
غالبر,2018-09-25,3015.075376884422,-13065.326633165829,1005.0251256281408,1005.0251256281408,753.7688442211055,-3768.844221105528,398,غالبر
ثنام,2018-09-16,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,ثنام
زنجان,2018-09-25,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,زنجان
بمیلا,2018-09-15,534.75935828877,-6951.87165775401,0.0,0.0,0.0,0.0,187,بميلا
وایرا,2018-09-12,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,وايرا
خبهمن,2018-09-24,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,خبهمن
کازرو,2018-09-15,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,كازرو
دلقما,2018-09-16,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,دلقما
حفارس,2018-09-22,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,حفارس
تابا,2018-09-24,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,تابا
کپرور,2018-09-12,1541.8502202643174,-11894.273127753306,330.3964757709251,110.13215859030838,0.0,-881.057268722467,908,كپرور
فباهنر,2018-09-15,1754.3859649122803,-5921.052631578947,0.0,0.0,0.0,0.0,456,فباهنر
وساپا,2018-09-25,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,وساپا
بکام,2018-09-16,776.5314926660915,-10957.72217428818,172.5625539257981,172.5625539257981,0.0,-517.6876617773943,1159,بكام
وارس,2018-09-12,704.2253521126761,-2112.676056338028,0.0,0.0,0.0,0.0,142,وارس
تکشا,2018-09-15,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,تكشا
قثابت,2018-09-24,3353.658536585366,-15548.78048780488,0.0,0.0,0.0,0.0,328,قثابت
دسبحان,2018-09-25,1743.119266055046,-10366.97247706422,0.0,0.0,0.0,0.0,1090,دسبحان
خریخت,2018-09-23,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,خريخت
دشیمی,2018-09-18,684.931506849315,-9246.575342465752,0.0,0.0,0.0,0.0,292,دشيمي
ختراک,2018-09-24,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,ختراك
ثقزوی,2018-09-22,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,ثقزوي
ثاخت,2018-09-25,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,ثاخت
دجابر,2018-09-25,1902.7484143763213,-7822.410147991543,0.0,0.0,0.0,0.0,473,دجابر
ونفت,2018-09-16,1952.2776572668115,-11930.58568329718,433.8394793926248,433.8394793926248,0.0,-1952.2776572668115,461,ونفت
شپلی,2018-09-16,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,شپلي
وآتوس,nodate,,,,,,,0,
شجم,2018-09-13,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,شجم
بساما,2018-09-16,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,بساما
تپکو,2018-09-23,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,تپكو
ثزاگرس,2018-09-17,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,ثزاگرس
کدما,2018-09-17,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,كدما
ستران,2018-09-24,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,ستران
کسرا,2018-09-23,661.0009442870632,-10764.87252124646,377.7148253068933,0.0,0.0,0.0,1059,كسرا
ورنا,2018-09-24,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,ورنا
غاذر,2018-09-22,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,غاذر
کبافق,2018-09-12,1894.7368421052631,-10736.842105263158,0.0,0.0,0.0,0.0,475,كبافق
مفاخر,2018-09-25,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,مفاخر
کشرق,2018-09-17,2045.4545454545453,-9318.181818181818,227.27272727272725,0.0,0.0,0.0,440,كشرق
سبزوا,2018-09-13,1012.6582278481012,-11645.569620253164,506.32911392405066,506.32911392405066,253.16455696202533,-1265.822784810127,395,سبزوا
سدور,2018-09-23,0.0,-6451.612903225807,0.0,0.0,0.0,0.0,93,سدور
قصفها,2018-09-25,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,قصفها
افرا,2018-09-16,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,افرا
بکاب,2018-09-22,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,بكاب
چکاوه,2018-09-25,1846.1538461538464,-11076.923076923076,0.0,0.0,0.0,0.0,325,چكاوه
شزنگ,2018-09-22,0.0,-11111.111111111111,0.0,0.0,0.0,0.0,9,شزنگ
کیسون,2018-09-17,904.1591320072332,-8860.759493670887,0.0,0.0,0.0,0.0,553,كيسون
